id,status,resp_start_ts,resp_last_ts,language,testmode,QS1,QS2,QAGE,QS3,QCOUNTRY,Q1R1,Q1R102,Q1R109,Q1R110,Q1R111,Q1R112,Q1R113,Q1R116,Q1R117,Q2R1,Q2R102,Q2R109,Q2R110,Q2R111,Q2R112,Q2R113,Q2R116,Q2R117,Q3R1,Q3R102,Q3R109,Q3R110,Q3R111,Q3R112,Q3R113,Q3R116,Q3R117,Q3RANK1,Q3RANK2,Q3RANK3,Q4R1,Q4R102,Q4R109,Q4R110,Q4R111,Q4R112,Q4R113,Q4R116,Q4R117,Q5BR1,Q5BR102,Q5BR109,Q5BR110,Q5BR111,Q5BR112,Q5BR113,Q5BR116,Q5BR117,Q5R1,Q5R102,Q5R109,Q5R110,Q5R111,Q5R112,Q5R113,Q5R116,Q5R117,Q6R1,Q6R102,Q6R109,Q6R110,Q6R111,Q6R112,Q6R113,Q6R116,Q6R117,Q6BR1,Q6BR102,Q6BR109,Q6BR110,Q6BR111,Q6BR112,Q6BR113,Q6BR116,Q6BR117,Q7R1C1,Q7R2C1,Q7R3C1,Q7R4C1,Q7R5C1,Q7R6C1,Q7R7C1,Q7R8C1,Q7R9C1,Q7R10C1,Q7R11C1,Q7R12C1,Q7R13C1,Q7R14C1,Q7R15C1,Q7R16C1,Q7R17C1,Q7R18C1,Q7R1C102,Q7R2C102,Q7R3C102,Q7R4C102,Q7R5C102,Q7R6C102,Q7R7C102,Q7R8C102,Q7R9C102,Q7R10C102,Q7R11C102,Q7R12C102,Q7R13C102,Q7R14C102,Q7R15C102,Q7R16C102,Q7R17C102,Q7R18C102,Q7R1C109,Q7R2C109,Q7R3C109,Q7R4C109,Q7R5C109,Q7R6C109,Q7R7C109,Q7R8C109,Q7R9C109,Q7R10C109,Q7R11C109,Q7R12C109,Q7R13C109,Q7R14C109,Q7R15C109,Q7R16C109,Q7R17C109,Q7R18C109,Q7R1C110,Q7R2C110,Q7R3C110,Q7R4C110,Q7R5C110,Q7R6C110,Q7R7C110,Q7R8C110,Q7R9C110,Q7R10C110,Q7R11C110,Q7R12C110,Q7R13C110,Q7R14C110,Q7R15C110,Q7R16C110,Q7R17C110,Q7R18C110,Q7R1C111,Q7R2C111,Q7R3C111,Q7R4C111,Q7R5C111,Q7R6C111,Q7R7C111,Q7R8C111,Q7R9C111,Q7R10C111,Q7R11C111,Q7R12C111,Q7R13C111,Q7R14C111,Q7R15C111,Q7R16C111,Q7R17C111,Q7R18C111,Q7R1C112,Q7R2C112,Q7R3C112,Q7R4C112,Q7R5C112,Q7R6C112,Q7R7C112,Q7R8C112,Q7R9C112,Q7R10C112,Q7R11C112,Q7R12C112,Q7R13C112,Q7R14C112,Q7R15C112,Q7R16C112,Q7R17C112,Q7R18C112,Q7R1C113,Q7R2C113,Q7R3C113,Q7R4C113,Q7R5C113,Q7R6C113,Q7R7C113,Q7R8C113,Q7R9C113,Q7R10C113,Q7R11C113,Q7R12C113,Q7R13C113,Q7R14C113,Q7R15C113,Q7R16C113,Q7R17C113,Q7R18C113,Q7R1C116,Q7R2C116,Q7R3C116,Q7R4C116,Q7R5C116,Q7R6C116,Q7R7C116,Q7R8C116,Q7R9C116,Q7R10C116,Q7R11C116,Q7R12C116,Q7R13C116,Q7R14C116,Q7R15C116,Q7R16C116,Q7R17C116,Q7R18C116,Q7R1C117,Q7R2C117,Q7R3C117,Q7R4C117,Q7R5C117,Q7R6C117,Q7R7C117,Q7R8C117,Q7R9C117,Q7R10C117,Q7R11C117,Q7R12C117,Q7R13C117,Q7R14C117,Q7R15C117,Q7R16C117,Q7R17C117,Q7R18C117,QMD_TRACK,QMD_1M,QMD_1L,QMD_2M,QMD_2L,QMD_3M,QMD_3L,QMD_4M,QMD_4L,QMD_5M,QMD_5L,QMD_6M,QMD_6L,QMD_7M,QMD_7L,QMD_8M,QMD_8L,QMD_9M,QMD_9L,QMD_10M,QMD_10L,QMD_11M,QMD_11L,QMD_UTIL_1,QMD_UTIL_2,QMD_UTIL_3,QMD_UTIL_4,QMD_UTIL_5,QMD_UTIL_6,QMD_UTIL_7,QMD_UTIL_8,QMD_UTIL_9,QMD_UTIL_10,QMD_UTIL_11,QMD_UTIL_12,QMD_UTIL_13,QMD_UTIL_14,QMD_UTIL_15,QMD_UTIL_16,QMD_UTIL_17,QMD_UTIL_18,QMD_RLH,QMD_PCERT,device_type,mobile,browser,browser_version,os,win_version,screensize,timezone,fback,fback_opts.1,fback_opts.2,fback_opts.3,fback_opts.4,fback_opts.5,fback_opts.6,fback_opts.7,fback_val,last_page_id,elapsed,disp.QS1,disp.QAGE,disp.QCTYGEN2,disp.T1,disp.QFAM,oq.QAGE,oq.QS3_QUOTA,oq.QCTYGEN2
310224072,C,,1969-12-31 16:00:00,,,6,38,4,2,103,4,3,4,3,4,5,5,3,3,4,2,3,3,3,4,3,3,4,,,,,,2,,3,1,117,112,116,6,3,3,2,4,5,4,5,4,6,,4,,4,5,4,,6,4,4,4,4,4,4,4,4,4,3,2,3,1,3,3,3,3,3,2,2,2,2,2,2,2,3,2,5,1,6,4,6,5,5,5,6,4,4,6,4,6,6,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,4,4,5,6,4,5,4,3,4,5,5,6,4,2,2,,,,,,,,,,,,,,,,,,,6,1,6,4,5,5,2,4,6,5,4,6,6,5,5,3,3,2,6,1,6,4,6,5,5,5,6,5,5,5,5,6,6,6,2,2,,,,,,,,,,,,,,,,,,,10,3,7,4,11,8,17,11,8,4,10,4,15,17,5,13,1,13,5,17,9,9,8,5.017749128,5.774808474,7.025631009,7.063464973,5.201550639,4.457016324,6.379468965,4.914132279,4.920434473,6.95924305,4.2950061,6.678140975,6.428982973,6.020614935,4.424126101,4.85946452,5.562565822,4.017599259,0.2130019724,0.0391341963,,,,,,,,,,,,,,,,,,,,,,,,,,,
350243825,C,,1969-12-31 16:00:00,,,6,56,6,1,504,4,5,6,4,4,5,4,6,4,5,5,5,4,5,5,5,6,6,,2,,,,3,,1,,116,102,112,8,9,9,10,8,7,9,9,8,6,6,6,6,5,7,,7,5,5,6,5,6,5,7,6,7,6,7,5,5,7,5,6,6,6,6,5,6,5,6,7,7,6,7,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,6,4,6,6,6,5,6,6,7,6,6,6,4,4,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,6,5,6,6,6,6,6,4,6,6,6,6,5,5,5,5,6,2,13,12,8,12,2,9,3,12,2,5,3,9,8,9,4,6,13,10,2,12,4,10,6.143005811,6.132156383,6.466032035,5.082510387,5.642596905,5.733539832,4.958785913,6.598458583,3.577878131,4.567813056,5.457261691,5.264560327,6.270115574,6.159031232,6.548547734,4.437595696,4.727189675,6.232921034,0.2298853649,0.08545715865,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF18527JC05151GDFB10952TV08545SB,C,,1969-12-31 16:00:00,,,6,59,6,1,501,3,3,2,3,6,3,6,3,4,5,6,6,6,7,5,7,6,6,,,,,2,,1,,3,113,111,117,7,8,8,8,10,7,10,8,8,,,,,7,,7,,,5,6,6,6,7,5,7,6,6,5,6,6,6,7,5,7,6,6,5,6,6,6,7,5,7,6,6,6,2,6,6,5,6,6,6,6,5,6,6,6,6,6,6,2,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,5,2,3,13,9,7,6,13,12,1,5,13,3,2,16,2,3,10,5,1,9,10,9,5.314620436,8.27523033,5.964827034,5.525873233,6.292373092,4.065482533,4.428852251,7.81903579,3.647171489,5.442543938,4.821995769,4.411706629,6.976796536,5.26813953,6.433077115,4.587765417,4.382576791,6.341932086,0.2288901049,0.08382467764,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCQSM4WNDWV0,C,,1969-12-31 16:00:00,,,6,72,7,2,101,6,3,6,1,6,1,6,6,6,6,4,6,,6,,6,6,6,,,2,,,,3,,1,117,109,113,9,5,9,,9,,9,9,9,6,,6,,6,,6,6,6,6,4,6,,6,,6,6,6,4,2,5,,4,,4,4,4,5,5,5,,5,,5,5,5,4,1,4,4,4,4,5,5,5,4,5,5,5,4,7,5,2,2,,,,,,,,,,,,,,,,,,,4,1,4,4,4,4,5,5,5,4,5,5,5,4,7,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,4,4,5,5,5,4,5,5,5,4,7,5,2,2,4,1,4,4,4,4,5,5,5,4,5,5,5,4,7,5,2,2,3,2,18,1,11,4,9,1,11,4,11,13,16,1,9,14,7,3,17,2,16,3,18,8.947392418,7.438387296,4.988825117,7.144164589,5.096168347,4.721076077,5.034286479,4.972023217,4.297276763,4.337002772,3.740004623,5.909227225,7.977025178,6.535551424,5.726749028,4.058042922,4.943279497,4.13351703,0.2696631593,0.1849046959,,,,,,,,,,,,,,,,,,,,,,,,,,,
270383836,C,,1969-12-31 16:00:00,,,6,23,2,1,102,6,6,6,5,6,6,6,6,3,5,7,7,5,7,7,7,7,5,,,2,,3,,,1,,116,109,111,10,10,10,5,10,10,10,10,5,5,7,7,5,7,7,7,7,5,5,7,7,5,7,7,7,7,5,5,7,7,5,7,7,7,7,5,5,7,7,5,7,7,7,7,5,7,1,7,7,7,7,5,7,7,7,7,7,7,7,7,5,1,1,,,,,,,,,,,,,,,,,,,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,7,7,7,5,7,7,7,7,7,7,7,7,5,1,1,6,2,16,5,9,2,9,8,1,12,18,13,12,13,9,10,15,8,16,7,1,10,12,4.328263421,7.045688486,4.878446101,5.418159709,5.956272217,5.617221765,4.680229928,6.907202306,4.442379853,6.41980227,4.801191698,5.446922896,6.129354631,5.924259701,5.904386339,4.56836889,5.061756602,6.47009319,0.2282600931,0.08168296796,,,,,,,,,,,,,,,,,,,,,,,,,,,
30524685,C,,1969-12-31 16:00:00,,,6,62,7,1,203,6,2,6,6,1,4,2,3,3,7,,3,,,4,,5,5,1,,,,,,,,,1,,,10,,5,,,5,,6,6,7,,4,,,4,,,,5,,2,,,3,,2,2,7,,4,,,4,,5,4,6,,4,,,4,,4,4,7,4,6,6,6,6,7,6,6,6,4,6,4,7,6,7,6,5,,,,,,,,,,,,,,,,,,,4,4,4,4,3,3,4,4,3,5,4,3,4,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,5,5,5,4,5,4,4,4,5,3,5,4,4,5,4,5,3,4,5,6,6,5,6,4,4,4,6,4,6,5,4,9,2,11,9,6,7,17,15,12,3,12,7,5,13,6,2,6,7,18,10,12,3,18,4.646649776,7.400730516,5.889893953,6.524798315,5.072700633,4.060780937,5.668907994,6.144332593,5.429465529,6.113788492,4.132958095,4.731057627,6.427263985,5.304018246,5.58655721,5.799911577,5.861294229,5.204890295,0.2274247889,0.07909230197,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERCQSM4WNN536,C,,1969-12-31 16:00:00,,,6,47,5,2,101,5,5,6,1,5,5,6,6,6,5,6,6,,5,6,6,6,6,3,2,,,,,,,1,117,102,1,8,9,8,,8,9,8,9,9,6,6,6,,6,6,6,6,6,6,6,5,,5,6,5,6,7,5,6,5,,4,6,5,6,7,5,6,4,,4,6,4,5,6,5,2,6,6,6,5,5,5,5,6,5,5,4,6,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,6,5,6,6,5,5,5,6,5,5,5,5,6,5,2,2,,,,,,,,,,,,,,,,,,,5,2,6,6,6,5,6,6,5,6,5,5,5,5,6,5,2,2,6,2,6,6,6,6,6,7,5,6,5,6,6,6,6,5,2,2,5,1,17,14,9,14,6,13,6,1,17,13,7,2,6,2,11,4,18,1,6,14,9,5.299612221,8.212232385,5.566285156,6.884071001,4.834473396,5.005345791,5.799055113,4.857793908,4.22165202,5.392337297,3.409354694,4.690508892,6.652976634,6.511302932,6.179113193,6.392267929,4.823678032,5.267939407,0.2353388673,0.09920796167,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277714,C,,1969-12-31 16:00:00,,,6,58,6,1,203,4,3,5,1,2,2,6,4,5,4,1,3,,,2,6,5,5,3,,,,,,1,,2,113,117,1,7,1,3,,,2,8,7,7,4,,2,,,,7,6,6,5,2,3,,,2,6,5,5,5,2,3,,,2,5,5,5,4,4,4,,,4,4,4,4,5,5,5,6,5,7,4,6,5,6,4,6,5,3,5,5,4,7,4,5,5,6,4,7,5,5,5,5,4,5,5,3,5,5,4,7,5,5,5,6,6,7,5,6,5,6,4,6,5,3,5,5,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,5,7,4,6,5,6,4,6,5,3,5,5,4,7,,,,,,,,,,,,,,,,,,,8,10,18,12,8,2,14,4,3,2,6,13,16,15,3,2,3,12,5,4,1,12,1,4.665919929,6.26324515,4.44457131,7.103436986,5.413763168,4.195304283,4.861441072,6.078800197,2.987167334,5.720949083,4.058462972,6.140911038,10.13052998,4.330766859,9.597232981,3.553473023,5.836647997,4.617376634,0.2384295387,0.1088417634,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2561LC07101MOOY3125TJ92585BK,C,,1969-12-31 16:00:00,,,6,49,5,1,501,4,6,4,6,1,5,6,5,5,5,7,7,6,7,5,7,6,6,,1,,,3,,2,,,102,113,111,7,10,9,7,10,7,10,8,9,5,7,6,5,7,5,7,6,6,5,7,6,5,7,5,7,6,5,6,7,6,5,7,5,7,6,6,5,7,6,5,7,5,7,6,6,6,1,7,7,5,5,6,6,5,5,5,6,6,7,6,7,3,7,,,,,,,,,,,,,,,,,,,6,2,6,6,6,7,6,6,6,7,7,7,5,6,7,7,2,7,7,2,6,7,6,6,6,5,5,7,6,7,7,7,6,6,2,6,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,15,8,15,2,16,13,9,13,6,1,16,3,16,10,11,12,9,4,9,12,11,5.291795445,8.754164415,4.414176902,6.248740776,5.86948926,4.234077592,5.085503254,6.238275462,3.62960916,5.662502683,5.230547502,6.005192486,8.065827458,4.751652332,4.927755578,4.486973635,5.408855178,5.694860879,0.2406211826,0.1139287655,,,,,,,,,,,,,,,,,,,,,,,,,,,
41764409,C,,1969-12-31 16:00:00,,,6,44,4,2,202,4,6,5,3,5,6,6,6,5,5,7,6,1,6,6,7,6,6,,2,,,,,3,1,,116,102,113,8,9,9,0,9,9,8,9,9,6,6,6,,6,6,6,6,6,6,6,6,1,6,6,6,6,6,5,6,6,1,6,6,6,6,6,5,7,5,1,6,6,6,6,6,5,2,5,5,6,6,4,5,5,5,6,5,5,4,6,5,2,3,7,2,5,5,7,7,4,7,7,7,7,7,7,4,7,7,1,1,5,2,5,5,6,6,4,5,5,5,6,5,5,4,6,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,5,5,6,6,4,6,6,6,6,5,6,4,6,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,9,11,9,2,8,15,8,14,11,13,12,13,11,4,8,4,9,13,6,2,6,5.09632273,8.197846223,5.993205122,6.198805108,6.285366697,4.272483126,4.276350721,4.721137458,4.03387958,4.856442921,4.951262144,5.614182813,6.851961619,6.32489714,6.279689796,3.870442971,6.373464397,5.802259435,0.2464558425,0.129498924,,,,,,,,,,,,,,,,,,,,,,,,,,,
300417358,C,,1969-12-31 16:00:00,,,6,69,7,2,502,1,3,6,2,4,6,4,6,3,6,5,6,,5,6,5,6,5,,,,,,,3,2,1,117,116,113,7,6,7,,6,7,6,7,6,7,,7,,6,7,6,6,,5,5,5,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,3,5,5,5,6,5,5,5,6,6,5,5,5,5,6,5,5,,,,,,,,,,,,,,,,,,,5,3,5,5,5,6,5,5,5,6,6,5,5,5,5,6,5,5,,,,,,,,,,,,,,,,,,,5,3,5,5,5,6,5,5,5,6,6,5,5,5,5,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,5,5,6,5,5,5,6,6,5,5,5,5,6,5,5,6,2,6,14,5,2,6,1,5,11,7,13,5,2,9,13,15,17,7,4,7,10,6,6.50858375,8.197386006,7.37480805,6.295178689,4.665506064,3.957238436,4.750513172,7.453564327,4.069321969,5.586629151,3.899250657,4.04227266,9.138746414,3.805815506,3.751150149,4.181858628,6.009364018,6.312812356,0.2432621529,0.1207474435,,,,,,,,,,,,,,,,,,,,,,,,,,,
300317406,C,,1969-12-31 16:00:00,,,6,45,5,2,502,6,1,6,5,6,6,6,5,6,7,7,7,5,6,7,7,7,6,,,3,,,,2,1,,116,113,109,9,9,8,7,9,9,9,9,9,6,5,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,5,5,6,5,5,6,6,6,6,6,5,5,6,7,6,6,6,6,6,7,5,6,7,6,6,6,6,5,5,6,7,6,5,6,6,6,5,5,6,6,5,6,6,6,6,5,7,6,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,7,7,6,7,6,6,6,6,5,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,6,5,7,6,5,7,6,5,7,5,6,7,6,7,6,7,,,,,,,,,,,,,,,,,,,9,2,11,10,6,13,14,2,15,10,16,9,7,8,18,2,14,2,18,10,16,1,18,3.799546725,7.530808734,6.063157853,6.007998874,5.982842775,4.819134675,5.388819652,5.589345966,6.139945896,5.522247679,5.054143146,5.402575599,8.125480235,4.460872096,5.936013211,3.883596927,5.34150813,4.951961826,0.2305216057,0.08802044935,,,,,,,,,,,,,,,,,,,,,,,,,,,
OZ1137JG4091BLVW5309CG89999VW,C,,1969-12-31 16:00:00,,,6,61,7,1,401,4,3,6,4,6,3,6,6,1,1,1,1,1,5,1,1,6,1,,,3,,,,2,1,,116,113,109,0,0,6,0,6,0,6,8,0,1,,5,1,5,,5,5,1,1,1,2,1,5,1,2,2,1,1,1,5,4,5,1,5,6,1,1,1,4,4,4,1,4,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,18,1,8,4,11,17,11,12,8,10,5,14,1,4,3,18,6,3,9,10,16,5.460566321,4.852270512,5.336563904,6.052652768,5.041539642,4.90970868,4.982824623,6.590015115,5.236714095,6.075697316,4.742352292,5.25245335,4.437725274,6.432930558,5.708076693,6.587082137,5.113279724,7.187546993,0.2026490259,0.008079397441,,,,,,,,,,,,,,,,,,,,,,,,,,,
31199263,C,,1969-12-31 16:00:00,,,6,37,4,2,203,5,3,6,3,6,4,6,6,5,6,4,7,5,7,6,7,6,7,,,,,,,3,2,1,117,116,113,9,6,9,7,9,8,9,9,10,6,,6,,6,6,6,6,7,6,4,6,5,6,6,6,6,7,6,4,6,5,6,6,6,6,7,6,3,6,4,6,6,6,6,7,6,2,6,7,7,7,6,7,7,7,6,7,7,6,6,7,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,6,7,6,6,6,6,6,6,6,6,6,6,6,6,2,5,6,2,6,7,7,7,6,7,7,7,6,7,7,6,6,7,2,5,,,,,,,,,,,,,,,,,,,6,2,6,7,7,7,6,7,7,7,6,7,7,6,6,7,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,17,15,9,3,7,3,9,12,16,4,6,2,17,2,12,2,10,3,6,1,16,5.850697255,7.576871432,4.840183949,6.607550276,6.610915048,4.305393476,5.381651879,5.132023,4.46264691,4.514987655,5.731788748,5.506084136,6.02064549,4.785606391,6.367052542,6.002393991,4.622056759,5.681451063,0.2240731522,0.06912485445,,,,,,,,,,,,,,,,,,,,,,,,,,,
270406066,C,,1969-12-31 16:00:00,,,6,65,7,1,102,3,2,6,2,6,6,4,6,5,2,,6,,7,7,7,7,7,,,,,1,,2,3,,111,113,116,2,,10,,10,10,10,10,10,2,,7,,7,7,7,7,7,2,,7,,7,7,7,7,7,2,,6,,7,6,7,6,7,2,,6,,7,6,7,6,7,3,1,4,6,5,6,3,4,3,3,5,3,6,4,5,2,1,1,,,,,,,,,,,,,,,,,,,6,1,4,6,5,6,5,4,6,5,5,6,6,4,5,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,5,6,5,6,6,5,7,6,6,7,6,4,6,7,1,1,,,,,,,,,,,,,,,,,,,7,1,5,7,5,7,6,5,7,6,6,7,7,4,6,7,1,1,3,2,9,8,12,3,9,2,11,4,5,4,16,1,9,7,17,10,14,2,16,3,18,5.943222406,6.551611143,6.194529881,8.304130554,6.448935554,4.053655703,6.979205899,6.705301005,3.952429062,5.481550976,3.651224787,6.27743202,6.554560762,4.583026939,5.658782333,4.008786303,4.76439594,3.887218732,0.2455718175,0.1250257491,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU17706DY25228QBVL19357SV83828LD,C,,1969-12-31 16:00:00,,,6,20,1,2,501,6,4,4,4,6,4,6,4,2,4,6,6,6,7,4,6,5,6,,,,3,2,,1,,,113,111,110,8,9,9,10,9,8,9,7,8,6,6,6,7,6,6,6,5,6,5,5,5,5,5,5,5,5,5,6,6,6,7,6,6,6,5,6,6,6,6,7,6,5,6,5,6,6,1,6,6,5,5,6,6,5,5,5,6,5,5,5,6,2,5,6,1,6,6,6,6,6,6,6,7,5,6,7,5,5,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,6,6,6,6,6,6,6,7,5,6,7,5,5,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,6,6,6,6,6,6,5,6,5,6,6,5,5,6,2,3,,,,,,,,,,,,,,,,,,,2,13,1,15,6,14,9,14,1,2,8,15,9,13,9,4,6,13,7,4,7,15,5,5.178456302,5.434722203,5.666968834,6.091972853,4.059791387,4.80827315,4.854071592,5.937849122,3.934940365,6.170715101,4.870968737,6.051156302,6.244876224,8.166600976,7.455645243,5.704746638,5.358256681,4.009988289,0.2455512433,0.1236782315,,,,,,,,,,,,,,,,,,,,,,,,,,,
30813308,C,,1969-12-31 16:00:00,,,6,61,7,2,203,5,4,6,2,3,3,3,6,3,5,4,6,5,3,1,5,6,5,3,,2,,,,,1,,116,109,1,6,6,7,6,5,1,6,9,6,5,5,5,,,,,6,,5,5,5,5,5,2,5,6,5,5,5,6,4,3,2,5,6,5,5,5,6,4,4,2,5,6,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,,,,,,,,,,,,,,,,,,,5,3,4,5,6,5,5,5,6,5,5,5,6,3,5,5,1,6,4,3,4,5,5,4,4,4,5,4,4,5,5,4,4,5,1,6,4,3,3,5,4,4,4,4,5,5,4,5,5,4,5,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,7,4,1,8,17,15,7,4,6,4,6,5,17,13,1,13,7,14,17,8,9,5.451195943,7.091540505,5.814413322,7.926362358,4.946448467,5.80002332,5.801800802,5.125580402,4.023438059,5.063979584,4.416671183,5.078311201,6.015219267,5.860080544,6.676838272,5.974791488,3.991950085,4.941355198,0.2234091503,0.06819607395,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ16101BO90386VUGQ20239PR88662IN,C,,1969-12-31 16:00:00,,,6,22,2,1,401,4,6,6,6,4,4,6,4,3,4,6,6,6,5,5,4,4,5,,1,3,2,,,,,,102,110,109,6,10,9,10,5,6,6,5,6,4,7,6,7,4,5,4,4,,4,7,7,7,4,5,4,5,5,4,7,6,6,4,5,5,4,4,4,7,7,7,4,5,5,4,5,4,5,5,5,5,5,4,5,4,4,4,5,4,5,4,4,6,3,,,,,,,,,,,,,,,,,,,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,,,,,,,,,,,,,,,,,,,4,4,5,5,5,5,4,5,4,5,5,5,4,5,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,6,7,7,6,5,6,5,6,5,6,6,6,6,3,3,,,,,,,,,,,,,,,,,,,8,10,18,8,12,2,16,13,9,13,6,8,16,15,16,2,3,12,18,14,18,12,11,6.202883102,10.82294644,4.173785034,6.135303032,5.539274613,4.873913084,4.896312768,5.061654211,3.211456979,4.691808687,5.417291022,5.660428111,6.301138493,4.867162849,6.102003896,4.850880598,6.35808018,4.833676899,0.2287323069,0.08262786998,,,,,,,,,,,,,,,,,,,,,,,,,,,
31332394,C,,1969-12-31 16:00:00,,,6,66,7,1,203,4,3,3,1,2,6,6,2,6,2,1,4,,,3,6,,2,,,3,,,,1,,2,113,117,109,7,1,8,,,5,7,,6,4,,5,,,4,6,,4,4,2,4,,,4,5,,4,4,2,4,,,3,5,,4,2,2,2,,,2,2,,2,2,2,3,3,3,3,3,2,3,2,4,2,2,3,3,3,3,3,5,4,3,3,5,3,3,4,5,4,2,4,4,3,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,2,4,3,3,3,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,2,4,3,4,3,3,3,3,3,3,3,6,2,6,14,9,2,9,1,5,3,18,13,12,2,9,1,10,16,8,1,4,3,10,6.113953425,6.479366046,6.491441129,5.606010636,5.784852989,4.975525488,4.523430488,4.837232588,3.082632148,4.990167193,3.354040327,6.107796841,6.847790654,6.073793789,5.585757842,6.422913206,6.572095288,6.151199925,0.2329771204,0.09366534464,,,,,,,,,,,,,,,,,,,,,,,,,,,
